,location_id,ra,dec,vlos,evlos,j,ej,h,eh,k,ek,teff,teff_err,logg,logg_err,m_h,m_h_err,alpha_m,alpha_m_err,[C/M],[CI/M],[N/M],[O/M],[Na/H],[Mg/M],[Al/H],[Si/M],[P/H],[S/M],[K/H],[Ca/M],[Ti/M],[TiII/M],[V/H],[Cr/H],[Mn/H],[Fe/H],[Co/H],[Ni/H],[Cu/H],[Ge/H],[Ce/H],[Rb/H],[Y/H],[Nd/H],err_[C/M],err_[CI/M],err_[N/M],err_[O/M],err_[Na/H],err_[Mg/M],err_[Al/H],err_[Si/M],err_[P/H],err_[S/M],err_[K/H],err_[Ca/M],err_[Ti/M],err_[TiII/M],err_[V/H],err_[Cr/H],err_[Mn/H],err_[Fe/H],err_[Co/H],err_[Ni/H],err_[Cu/H],err_[Ge/H],err_[Ce/H],err_[Rb/H],err_[Y/H],err_[Nd/H],ra_gaia,dec_gaia,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,meandist,diststd,mass,mass_error
0,    4.40900e+03,    2.80082e+02,    4.38106e+01,   -2.63682e+01,    6.63533e-03,    1.01370e+01,    2.70000e-02,    9.57100e+00,    3.20000e-02,    9.46700e+00,    2.00000e-02,    4.71787e+03,    7.09836e+01,    2.85043e+00,    5.18061e-02,    1.14532e-01,    2.78833e-02,    6.76604e-03,    1.11246e-02,   -1.14300e-01,   -2.01090e-01,    2.80300e-01,   -3.00603e-02,    2.37148e-02,    3.98606e-02,    9.52810e-02,   -5.72588e-03,    2.15795e-01,   -7.87021e-02,    2.15417e-02,    9.44739e-03,    6.38413e-02,   -3.28005e-02,    3.91180e-02,   -1.07481e-02,    9.80964e-03,    2.51971e-04,    1.61882e-01,    3.44497e-03,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    9.67756e-02,   -9.99900e+03,   -9.99900e+03,    2.78355e-02,    3.79650e-02,    4.17880e-02,    2.51472e-02,    7.17349e-02,    1.57381e-02,    4.56481e-02,    2.25521e-02,    8.60980e-02,    4.53019e-02,    2.95733e-02,    1.73375e-02,    3.13159e-02,    8.43842e-02,    6.12866e-02,    3.03087e-02,    2.06386e-02,    7.35673e-03,    6.28583e-02,    1.27612e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    8.03975e-02,   -9.99900e+03,   -9.99900e+03,    2.80082e+02,    4.38106e+01,    1.71000e-01,    2.69000e-01,    7.80000e-01,    3.30000e-01,    2.20200e+00,    1.34400e+00,   -3.58700e+00,    8.27000e-01,    1.53701e+00,    9.85526e-02,    1.35000e+00,    9.00000e-02
1,    4.40900e+03,    2.80427e+02,    4.38404e+01,   -6.29257e+00,    5.21354e-03,    9.94700e+00,    2.10000e-02,    9.37500e+00,    2.80000e-02,    9.25400e+00,    2.00000e-02,    4.70324e+03,    7.01807e+01,    2.46422e+00,    3.59167e-02,    2.06636e-01,    2.63310e-02,   -8.87232e-03,    1.03415e-02,   -1.02280e-01,   -1.96460e-01,    4.20560e-01,   -6.90171e-02,    1.32185e-01,    1.97678e-03,    9.14427e-02,    9.96552e-04,   -1.73577e-01,   -2.19393e-02,   -8.15554e-03,   -2.94137e-03,    2.46124e-02,   -4.35087e-02,    4.95872e-02,    4.21430e-03,    1.02212e-01,    1.95052e-03,    1.74571e-01,    9.17608e-03,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    1.17996e-01,   -9.99900e+03,   -9.99900e+03,    2.59231e-02,    3.59048e-02,    3.91469e-02,    2.35160e-02,    7.02225e-02,    1.47767e-02,    4.39553e-02,    2.15323e-02,    8.46986e-02,    4.34142e-02,    2.82688e-02,    1.63279e-02,    2.97439e-02,    8.26042e-02,    5.88217e-02,    2.85080e-02,    1.95083e-02,    7.07446e-03,    6.20884e-02,    1.19814e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    8.09620e-02,   -9.99900e+03,   -9.99900e+03,    2.80427e+02,    4.38404e+01,    1.64000e-01,    2.82000e-01,    5.00000e-01,    2.80000e-01,    3.31400e+00,    9.79000e-01,   -1.91600e+00,    8.96000e-01,    1.55687e+00,    1.23563e-01,    1.72000e+00,    1.50000e-01
2,    5.00800e+03,    2.80546e+02,    4.29840e+01,   -2.21493e+01,    8.96951e-03,    9.85200e+00,    2.10000e-02,    9.35700e+00,    2.10000e-02,    9.24900e+00,    1.10000e-02,    4.87298e+03,    7.88375e+01,    2.38977e+00,    4.64270e-02,   -2.67209e-01,    3.73198e-02,    7.02305e-02,    1.50531e-02,   -3.54120e-02,   -7.20790e-02,    2.46220e-01,   -9.06641e-03,   -1.80895e-01,    9.66137e-02,    1.25804e-01,    7.79395e-02,   -1.95730e-01,    5.44247e-02,    1.93300e-02,    2.27787e-02,   -5.68414e-02,    2.41071e-01,   -2.07572e+00,   -7.06889e-02,   -8.08197e-02,   -1.03361e-02,   -1.85883e-01,    1.43066e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,   -7.34839e-03,   -9.99900e+03,   -9.99900e+03,    4.08469e-02,    4.97521e-02,    5.91813e-02,    3.59559e-02,    8.18703e-02,    2.02602e-02,    5.69928e-02,    2.81277e-02,    9.48948e-02,    5.45617e-02,    3.64799e-02,    2.26294e-02,    4.08056e-02,    9.63189e-02,    2.86122e-01,    4.06443e-02,    2.68623e-02,    8.49359e-03,    7.08761e-02,    1.70016e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    1.35337e-01,   -9.99900e+03,   -9.99900e+03,    2.80546e+02,    4.29840e+01,    1.50000e-01,    2.22000e-01,    4.80000e-01,    2.50000e-01,    4.35000e-01,    9.40000e-01,   -1.19310e+01,    7.28000e-01,nan,nan,    1.03000e+00,    1.00000e-01
3,    4.40800e+03,    2.80775e+02,    4.71442e+01,    4.19250e+00,    1.20589e-02,    1.00290e+01,    2.00000e-02,    9.55000e+00,    1.80000e-02,    9.44500e+00,    1.10000e-02,    4.86324e+03,    9.43712e+01,    2.56753e+00,    4.59496e-02,    6.46112e-02,    2.98771e-02,    2.72526e-02,    1.33711e-02,   -1.61930e-01,   -2.25700e-01,    4.20820e-01,   -7.76686e-02,    1.25471e-01,    2.06980e-02,    6.33844e-02,   -3.08388e-03,   -2.56457e-01,    8.49036e-02,   -1.58639e-02,   -6.57760e-02,    5.83596e-02,    1.04787e-01,    1.60960e-01,   -1.50957e-03,    3.57657e-02,   -1.05666e-02,   -2.79436e-02,    4.53195e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,   -3.67712e-01,   -9.99900e+03,   -9.99900e+03,    3.98065e-02,    5.47934e-02,    5.45462e-02,    4.00085e-02,    1.02577e-01,    2.06310e-02,    6.24441e-02,    2.82836e-02,    1.17218e-01,    6.77869e-02,    5.44499e-02,    3.08780e-02,    4.52814e-02,    1.05470e-01,    8.82059e-02,    5.00286e-02,    3.51424e-02,    7.95060e-03,    1.05742e-01,    2.41841e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    2.29980e-01,   -9.99900e+03,   -9.99900e+03,    2.80775e+02,    4.71442e+01,    1.72000e-01,    3.16000e-01,    7.80000e-01,    3.80000e-01,   -6.17400e+00,    1.56700e+00,   -5.11700e+00,    1.49500e+00,    1.70501e+00,    2.33230e-01,    1.79000e+00,    1.40000e-01
4,    4.40800e+03,    2.80831e+02,    4.72195e+01,   -3.69728e+01,    7.38645e-03,    9.19600e+00,    2.90000e-02,    8.70400e+00,    2.90000e-02,    8.57900e+00,    1.10000e-02,    4.66722e+03,    7.80165e+01,    2.43882e+00,    3.88507e-02,    1.56244e-01,    2.58325e-02,    3.53511e-02,    1.18151e-02,    2.79920e-02,   -2.38940e-02,    3.00580e-01,    3.74535e-02,    5.05315e-02,    6.21481e-02,    3.33692e-03,    3.79101e-02,   -2.28431e-01,    3.90031e-02,    4.17420e-02,   -2.76699e-02,   -9.26901e-03,    9.27998e-02,   -5.77751e-02,   -1.58362e-02,    8.07043e-02,   -1.72552e-03,    9.40087e-02,    5.78442e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,   -7.70757e-02,   -9.99900e+03,   -9.99900e+03,    2.92905e-02,    4.35679e-02,    4.23010e-02,    2.87932e-02,    8.35801e-02,    1.80325e-02,    4.95099e-02,    2.41522e-02,    9.95509e-02,    5.60299e-02,    4.09625e-02,    2.33936e-02,    3.55046e-02,    9.01314e-02,    6.85505e-02,    3.77405e-02,    2.66705e-02,    7.68968e-03,    7.91150e-02,    1.76864e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    1.45430e-01,   -9.99900e+03,   -9.99900e+03,    2.80831e+02,    4.72194e+01,    1.35000e-01,    7.10000e-01,    1.22000e+00,    7.50000e-01,   -1.66100e+00,    4.27800e+00,    8.24000e-01,    3.47100e+00,    1.11630e+00,    1.13486e-01,    1.06000e+00,    9.00000e-02
5,    4.40800e+03,    2.80867e+02,    4.75614e+01,   -3.70387e+01,    7.53826e-03,    9.25200e+00,    2.90000e-02,    8.74800e+00,    1.60000e-02,    8.67800e+00,    1.10000e-02,    4.91636e+03,    7.99655e+01,    2.58742e+00,    4.07063e-02,    1.37694e-01,    3.08095e-02,    5.91553e-03,    1.09197e-02,   -1.57950e-01,   -2.55700e-01,    5.08000e-01,   -3.87359e-02,    2.37885e-01,    1.76984e-02,    6.11052e-02,    1.89699e-02,    1.26902e-01,   -2.17157e-02,    3.35806e-02,   -3.28663e-02,   -7.98633e-03,    1.88642e-01,   -5.91836e-03,    4.72388e-02,    5.85564e-02,   -1.29006e-02,    5.63599e-02,    1.35501e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,   -1.61852e-02,   -9.99900e+03,   -9.99900e+03,    3.29590e-02,    4.06603e-02,    4.84038e-02,    2.92508e-02,    7.82705e-02,    1.52087e-02,    5.19042e-02,    2.37056e-02,    9.12273e-02,    4.57349e-02,    3.06887e-02,    1.77289e-02,    3.44439e-02,    9.20879e-02,    6.95604e-02,    3.24445e-02,    2.16837e-02,    7.00629e-03,    7.24851e-02,    1.32559e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    8.12139e-02,   -9.99900e+03,   -9.99900e+03,    2.80867e+02,    4.75613e+01,    1.41000e-01,    2.67000e-01,    6.80000e-01,    3.20000e-01,   -1.52000e-01,    1.08800e+00,   -1.34190e+01,    5.67000e-01,    1.20529e+00,    1.63096e-01,    2.00000e+00,    1.60000e-01
6,    4.40900e+03,    2.80912e+02,    4.25915e+01,   -4.85609e+01,    3.75289e-03,    8.19200e+00,    2.10000e-02,    7.72200e+00,    2.60000e-02,    7.58700e+00,    1.70000e-02,    4.87397e+03,    7.86860e+01,    2.44370e+00,    4.50515e-02,   -1.85968e-01,    3.57515e-02,    1.64699e-02,    1.41142e-02,   -1.08830e-01,   -1.28640e-01,    2.71090e-01,   -1.33829e-02,   -1.77884e-02,    4.15491e-02,    7.95912e-02,    5.60192e-02,   -6.23626e-02,    5.31785e-02,    5.39339e-02,   -1.27464e-02,   -6.89019e-02,    2.28292e-01,    5.67466e-02,   -4.15489e-03,   -4.89684e-02,    2.10166e-04,    3.62320e-02,    2.13296e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    2.38880e-01,   -9.99900e+03,   -9.99900e+03,    3.88407e-02,    4.76237e-02,    5.64796e-02,    3.42713e-02,    8.08417e-02,    1.91410e-02,    5.56323e-02,    2.71134e-02,    9.39192e-02,    5.26220e-02,    3.51697e-02,    2.15165e-02,    3.92748e-02,    9.51090e-02,    7.54501e-02,    3.87210e-02,    2.56686e-02,    8.18426e-03,    7.07916e-02,    1.61394e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    8.08536e-02,   -9.99900e+03,   -9.99900e+03,    2.80912e+02,    4.25915e+01,    2.02000e-01,    2.74000e-01,    9.40000e-01,    3.30000e-01,    6.09700e+00,    9.48000e-01,   -1.00980e+01,    7.47000e-01,    7.87045e-01,    1.61321e-01,    1.33000e+00,    5.00000e-02
7,    5.00800e+03,    2.81032e+02,    4.40288e+01,    7.23362e-03,    3.81276e-03,    8.91900e+00,    2.70000e-02,    8.39400e+00,    2.10000e-02,    8.26400e+00,    1.10000e-02,    4.70316e+03,    7.02620e+01,    2.40954e+00,    3.65104e-02,    1.62587e-01,    2.69540e-02,   -1.43513e-02,    1.07090e-02,   -9.14500e-02,   -1.49810e-01,    3.97220e-01,   -3.46976e-02,    3.94993e-02,    9.56733e-03,    7.88715e-02,    1.51604e-03,   -3.66424e-02,   -7.89857e-02,   -1.11398e-02,   -1.15363e-02,   -3.93593e-02,    1.68388e-01,    1.34485e-02,    1.03172e-02,    4.17508e-02,    6.17836e-03,    2.47747e-01,    4.03463e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    1.84336e-01,   -9.99900e+03,   -9.99900e+03,    2.66454e-02,    3.67690e-02,    4.01575e-02,    2.41397e-02,    7.07117e-02,    1.52388e-02,    4.45408e-02,    2.19667e-02,    8.51794e-02,    4.42755e-02,    2.88364e-02,    1.67811e-02,    3.03701e-02,    8.31796e-02,    5.97002e-02,    2.92695e-02,    1.99963e-02,    7.21795e-03,    6.21370e-02,    1.23249e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    8.07186e-02,   -9.99900e+03,   -9.99900e+03,    2.81032e+02,    4.40288e+01,    1.81000e-01,    3.12000e-01,    9.30000e-01,    2.50000e-01,    6.41400e+00,    7.79000e-01,    4.52500e+00,    9.02000e-01,    9.89466e-01,    1.56653e-01,    1.51000e+00,    1.50000e-01
8,    4.40900e+03,    2.81078e+02,    4.38674e+01,   -5.26373e+00,    4.83146e-03,    9.45800e+00,    2.30000e-02,    8.97700e+00,    2.00000e-02,    8.82500e+00,    1.10000e-02,    4.83330e+03,    7.69039e+01,    2.44972e+00,    4.50896e-02,   -2.38714e-01,    3.59401e-02,    8.96321e-02,    1.47176e-02,   -4.11310e-02,   -3.88180e-02,    2.15320e-01,    1.85337e-04,    3.51922e-02,    1.34444e-01,    1.94683e-01,    8.36211e-02,   -2.49175e-01,    5.49528e-02,    9.71379e-02,    6.74317e-02,    5.69812e-02,    3.34370e-01,   -6.63499e-02,   -1.87555e-02,   -1.17666e-01,   -2.31612e-03,    5.65814e-02,    3.19032e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,   -3.40512e-03,   -9.99900e+03,   -9.99900e+03,    3.86741e-02,    4.82000e-02,    5.63659e-02,    3.41988e-02,    8.00279e-02,    1.99327e-02,    5.49892e-02,    2.74315e-02,    9.33980e-02,    5.36582e-02,    3.56716e-02,    2.20685e-02,    3.94089e-02,    9.41483e-02,    7.47351e-02,    3.93039e-02,    2.61068e-02,    8.44872e-03,    6.88331e-02,    1.65169e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    1.33383e-01,   -9.99900e+03,   -9.99900e+03,    2.81078e+02,    4.38674e+01,    2.33000e-01,    4.23000e-01,    1.26000e+00,    4.80000e-01,   -2.73100e+00,    2.04300e+00,   -5.86100e+00,    1.96500e+00,    1.25231e+00,    1.05011e-01,    1.50000e+00,    1.00000e-01
9,    4.40900e+03,    2.81163e+02,    4.23907e+01,    1.72980e+01,    1.06300e-02,    1.04180e+01,    2.30000e-02,    9.92700e+00,    2.00000e-02,    9.81900e+00,    1.10000e-02,    4.93118e+03,    8.17579e+01,    2.46416e+00,    4.84273e-02,   -3.07163e-01,    3.94013e-02,    2.97782e-02,    1.55364e-02,   -1.30090e-01,   -1.30330e-01,    2.81260e-01,    4.66864e-02,   -3.74643e-01,    3.52880e-02,    8.28429e-02,    5.66391e-02,   -1.23700e-01,    9.83638e-02,    8.53741e-02,    2.17661e-02,   -3.36416e-02,    3.53360e-01,    1.43864e-02,    3.55596e-02,   -7.04050e-02,   -2.54315e-03,   -5.82950e-02,    2.32814e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    8.43880e-02,   -9.99900e+03,   -9.99900e+03,    4.42057e-02,    5.20677e-02,    6.34993e-02,    3.86552e-02,    1.60477e-01,    2.07235e-02,    6.00311e-02,    2.91566e-02,    9.71107e-02,    5.58688e-02,    3.76673e-02,    2.34510e-02,    4.29068e-02,    9.95645e-02,    8.17506e-02,    4.26465e-02,    2.79813e-02,    8.55266e-03,    7.39801e-02,    1.77174e-02,   -9.99900e+03,   -9.99900e+03,   -9.99900e+03,    1.17652e-01,   -9.99900e+03,   -9.99900e+03,    2.81163e+02,    4.23907e+01,    1.69000e-01,    2.80000e-01,    6.60000e-01,    3.20000e-01,    9.09000e-01,    1.18700e+00,   -1.11300e+00,    9.68000e-01,nan,nan,    1.44000e+00,    1.30000e-01
