,location_id,ra,dec,vlos,evlos,j,ej,h,eh,k,ek,teff,teff_err,logg,logg_err,m_h,m_h_err,alpha_m,alpha_m_err,[C/M],[C/M]_err,[N/M],[N/M]_err,ra_gaia,dec_gaia,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,meandist,diststd,mass,mass_error,iso_mu_log10age,iso_sig_log10age,iso_mu_mh,iso_sig_mh,iso_mu_log10mass,iso_sig_log10mass,iso_mu_dm,iso_sig_dm,isonomass_mu_log10age,isonomass_sig_log10age,isonomass_mu_mh,isonomass_sig_mh,isonomass_mu_log10mass,isonomass_sig_log10mass,isonomass_mu_dm,isonomass_sig_dm,ann_mu_log10age,ann_sig_log10age,ann_mu_mh,ann_sig_mh,ann_mu_log10mass,ann_sig_log10mass,ann_mu_dm,ann_sig_dm
0,    4.40900e+03,    2.80082e+02,    4.38106e+01,   -2.63682e+01,    6.63533e-03,    1.01370e+01,    2.70000e-02,    9.57100e+00,    3.20000e-02,    9.46700e+00,    2.00000e-02,    4.71787e+03,    7.09836e+01,    2.85043e+00,    5.18061e-02,    1.14532e-01,    2.78833e-02,    6.76604e-03,    1.11246e-02,   -1.14300e-01,    2.78355e-02,    2.80300e-01,    4.17880e-02,    2.80082e+02,    4.38106e+01,    1.71000e-01,    2.69000e-01,    7.80000e-01,    3.30000e-01,    2.20200e+00,    1.34400e+00,   -3.58700e+00,    8.27000e-01,    1.53701e+00,    9.85526e-02,    1.35000e+00,    9.00000e-02,    6.61268e-01,    5.23614e-02,    1.33712e-01,    2.40804e-02,    1.13090e-01,    1.58440e-02,    1.01012e+01,    1.59801e-01,    6.91237e-01,    7.01975e-02,    1.25767e-01,    3.04523e-02,    1.04053e-01,    2.13380e-02,    1.00485e+01,    1.69178e-01,    5.83171e-01,    9.38225e-02,    1.06085e-01,    2.59556e-02,    1.39401e-01,    3.51101e-02,    1.02525e+01,    2.19641e-01
1,    4.40900e+03,    2.80427e+02,    4.38404e+01,   -6.29257e+00,    5.21354e-03,    9.94700e+00,    2.10000e-02,    9.37500e+00,    2.80000e-02,    9.25400e+00,    2.00000e-02,    4.70324e+03,    7.01807e+01,    2.46422e+00,    3.59167e-02,    2.06636e-01,    2.63310e-02,   -8.87232e-03,    1.03415e-02,   -1.02280e-01,    2.59231e-02,    4.20560e-01,    3.91469e-02,    2.80427e+02,    4.38404e+01,    1.64000e-01,    2.82000e-01,    5.00000e-01,    2.80000e-01,    3.31400e+00,    9.79000e-01,   -1.91600e+00,    8.96000e-01,    1.55687e+00,    1.23563e-01,    1.72000e+00,    1.50000e-01,    5.04945e-01,    5.50953e-02,    2.03605e-01,    2.36948e-02,    1.71843e-01,    2.17223e-02,    1.09399e+01,    7.07043e-02,    5.43878e-01,    9.47802e-02,    2.03373e-01,    2.36365e-02,    1.56904e-01,    3.49923e-02,    1.09303e+01,    1.02822e-01,    5.08194e-01,    1.27513e-01,    1.93799e-01,    2.37248e-02,    1.73703e-01,    4.64604e-02,    1.08800e+01,    1.04179e-01
2,    5.00800e+03,    2.80546e+02,    4.29840e+01,   -2.21493e+01,    8.96951e-03,    9.85200e+00,    2.10000e-02,    9.35700e+00,    2.10000e-02,    9.24900e+00,    1.10000e-02,    4.87298e+03,    7.88375e+01,    2.38977e+00,    4.64270e-02,   -2.67209e-01,    3.73198e-02,    7.02305e-02,    1.50531e-02,   -3.54120e-02,    4.08469e-02,    2.46220e-01,    5.91813e-02,    2.80546e+02,    4.29840e+01,    1.50000e-01,    2.22000e-01,    4.80000e-01,    2.50000e-01,    4.35000e-01,    9.40000e-01,   -1.19310e+01,    7.28000e-01,nan,nan,    1.03000e+00,    1.00000e-01,    1.01008e+00,    4.35262e-03,   -3.74526e-01,    1.22006e-02,   -6.20269e-02,    1.70998e-03,    1.04981e+01,    1.82593e-02,    1.00731e+00,    4.23678e-02,   -3.74519e-01,    1.26930e-02,   -6.10208e-02,    1.58138e-02,    1.04988e+01,    2.22163e-02,    7.79671e-01,    2.12671e-01,   -2.75128e-01,    4.10296e-02,    3.00257e-02,    7.75549e-02,    1.07991e+01,    1.39607e-01
3,    4.40800e+03,    2.80775e+02,    4.71442e+01,    4.19250e+00,    1.20589e-02,    1.00290e+01,    2.00000e-02,    9.55000e+00,    1.80000e-02,    9.44500e+00,    1.10000e-02,    4.86324e+03,    9.43712e+01,    2.56753e+00,    4.59496e-02,    6.46112e-02,    2.98771e-02,    2.72526e-02,    1.33711e-02,   -1.61930e-01,    3.98065e-02,    4.20820e-01,    5.45462e-02,    2.80775e+02,    4.71442e+01,    1.72000e-01,    3.16000e-01,    7.80000e-01,    3.80000e-01,   -6.17400e+00,    1.56700e+00,   -5.11700e+00,    1.49500e+00,    1.70501e+00,    2.33230e-01,    1.79000e+00,    1.40000e-01,    3.07894e-01,    5.20124e-02,    5.69898e-02,    2.75950e-02,    2.35632e-01,    2.13382e-02,    1.10576e+01,    3.45726e-02,    1.42332e-01,    2.10653e-01,    5.90642e-02,    2.81162e-02,    3.01477e-01,    8.29076e-02,    1.12615e+01,    2.43870e-01,    2.40040e-01,    1.69616e-01,    5.37681e-02,    2.86891e-02,    2.61956e-01,    6.42502e-02,    1.11404e+01,    1.90129e-01
4,    4.40800e+03,    2.80831e+02,    4.72195e+01,   -3.69728e+01,    7.38645e-03,    9.19600e+00,    2.90000e-02,    8.70400e+00,    2.90000e-02,    8.57900e+00,    1.10000e-02,    4.66722e+03,    7.80165e+01,    2.43882e+00,    3.88507e-02,    1.56244e-01,    2.58325e-02,    3.53511e-02,    1.18151e-02,    2.79920e-02,    2.92905e-02,    3.00580e-01,    4.23010e-02,    2.80831e+02,    4.72194e+01,    1.35000e-01,    7.10000e-01,    1.22000e+00,    7.50000e-01,   -1.66100e+00,    4.27800e+00,    8.24000e-01,    3.47100e+00,    1.11630e+00,    1.13486e-01,    1.06000e+00,    9.00000e-02,    1.06357e+00,    9.06446e-02,    1.40830e-01,    1.34914e-02,   -3.18168e-02,    3.18634e-02,    9.89297e+00,    7.54637e-02,    2.11197e-01,    4.01769e-01,    1.49434e-01,    2.90695e-02,    2.78076e-01,    1.50642e-01,    1.05812e+01,    4.72746e-01,    6.04908e-01,    2.10531e-01,    1.41082e-01,    2.41614e-02,    1.35959e-01,    7.82647e-02,    1.01862e+01,    1.44941e-01
5,    4.40800e+03,    2.80867e+02,    4.75614e+01,   -3.70387e+01,    7.53826e-03,    9.25200e+00,    2.90000e-02,    8.74800e+00,    1.60000e-02,    8.67800e+00,    1.10000e-02,    4.91636e+03,    7.99655e+01,    2.58742e+00,    4.07063e-02,    1.37694e-01,    3.08095e-02,    5.91553e-03,    1.09197e-02,   -1.57950e-01,    3.29590e-02,    5.08000e-01,    4.84038e-02,    2.80867e+02,    4.75613e+01,    1.41000e-01,    2.67000e-01,    6.80000e-01,    3.20000e-01,   -1.52000e-01,    1.08800e+00,   -1.34190e+01,    5.67000e-01,    1.20529e+00,    1.63096e-01,    2.00000e+00,    1.60000e-01,    1.62182e-01,    1.20759e-01,    1.27932e-01,    2.96276e-02,    3.03302e-01,    5.01797e-02,    1.03585e+01,    1.20888e-01,    5.13384e-02,    1.72575e-01,    1.28180e-01,    2.95057e-02,    3.43641e-01,    6.73539e-02,    1.05512e+01,    2.20477e-01,    1.16807e-01,    1.91008e-01,    1.23484e-01,    2.85743e-02,    3.14608e-01,    7.27733e-02,    1.04220e+01,    2.09408e-01
6,    4.40900e+03,    2.80912e+02,    4.25915e+01,   -4.85609e+01,    3.75289e-03,    8.19200e+00,    2.10000e-02,    7.72200e+00,    2.60000e-02,    7.58700e+00,    1.70000e-02,    4.87397e+03,    7.86860e+01,    2.44370e+00,    4.50515e-02,   -1.85968e-01,    3.57515e-02,    1.64699e-02,    1.41142e-02,   -1.08830e-01,    3.88407e-02,    2.71090e-01,    5.64796e-02,    2.80912e+02,    4.25915e+01,    2.02000e-01,    2.74000e-01,    9.40000e-01,    3.30000e-01,    6.09700e+00,    9.48000e-01,   -1.00980e+01,    7.47000e-01,    7.87045e-01,    1.61321e-01,    1.33000e+00,    5.00000e-02,    5.10186e-01,    1.48210e-02,   -2.01068e-01,    3.32966e-02,    1.31821e-01,    6.04702e-03,    9.25180e+00,    2.99699e-02,    4.97778e-02,    3.70451e-01,   -1.78591e-01,    3.62327e-02,    3.12573e-01,    1.44446e-01,    9.76858e+00,    4.57488e-01,    5.41783e-01,    1.72904e-01,   -1.82791e-01,    3.47377e-02,    1.24757e-01,    6.35870e-02,    9.27049e+00,    1.23923e-01
7,    5.00800e+03,    2.81032e+02,    4.40288e+01,    7.23362e-03,    3.81276e-03,    8.91900e+00,    2.70000e-02,    8.39400e+00,    2.10000e-02,    8.26400e+00,    1.10000e-02,    4.70316e+03,    7.02620e+01,    2.40954e+00,    3.65104e-02,    1.62587e-01,    2.69540e-02,   -1.43513e-02,    1.07090e-02,   -9.14500e-02,    2.66454e-02,    3.97220e-01,    4.01575e-02,    2.81032e+02,    4.40288e+01,    1.81000e-01,    3.12000e-01,    9.30000e-01,    2.50000e-01,    6.41400e+00,    7.79000e-01,    4.52500e+00,    9.02000e-01,    9.89466e-01,    1.56653e-01,    1.51000e+00,    1.50000e-01,    5.12756e-01,    3.98513e-02,    1.46034e-01,    2.76751e-02,    1.64896e-01,    1.58607e-02,    9.95514e+00,    1.01539e-01,   -1.99209e-01,    2.78097e-01,    1.63130e-01,    2.93627e-02,    4.31423e-01,    1.03718e-01,    1.07896e+01,    3.38954e-01,    5.67624e-01,    1.71688e-01,    1.50745e-01,    2.38562e-02,    1.48549e-01,    6.27535e-02,    9.94282e+00,    1.31690e-01
8,    4.40900e+03,    2.81078e+02,    4.38674e+01,   -5.26373e+00,    4.83146e-03,    9.45800e+00,    2.30000e-02,    8.97700e+00,    2.00000e-02,    8.82500e+00,    1.10000e-02,    4.83330e+03,    7.69039e+01,    2.44972e+00,    4.50896e-02,   -2.38714e-01,    3.59401e-02,    8.96321e-02,    1.47176e-02,   -4.11310e-02,    3.86741e-02,    2.15320e-01,    5.63659e-02,    2.81078e+02,    4.38674e+01,    2.33000e-01,    4.23000e-01,    1.26000e+00,    4.80000e-01,   -2.73100e+00,    2.04300e+00,   -5.86100e+00,    1.96500e+00,    1.25231e+00,    1.05011e-01,    1.50000e+00,    1.00000e-01,    2.87650e-01,    3.53273e-02,   -3.05183e-01,    3.27749e-02,    2.08911e-01,    1.48656e-02,    1.01348e+01,    3.13959e-02,   -2.09082e-01,    3.92751e-02,   -2.78497e-01,    2.15242e-02,    4.07399e-01,    1.38473e-02,    1.08922e+01,    1.08394e-01,    7.50483e-01,    1.92113e-01,   -2.39343e-01,    3.58005e-02,    4.38902e-02,    7.00767e-02,    1.03943e+01,    1.23691e-01
9,    4.40900e+03,    2.81163e+02,    4.23907e+01,    1.72980e+01,    1.06300e-02,    1.04180e+01,    2.30000e-02,    9.92700e+00,    2.00000e-02,    9.81900e+00,    1.10000e-02,    4.93118e+03,    8.17579e+01,    2.46416e+00,    4.84273e-02,   -3.07163e-01,    3.94013e-02,    2.97782e-02,    1.55364e-02,   -1.30090e-01,    4.42057e-02,    2.81260e-01,    6.34993e-02,    2.81163e+02,    4.23907e+01,    1.69000e-01,    2.80000e-01,    6.60000e-01,    3.20000e-01,    9.09000e-01,    1.18700e+00,   -1.11300e+00,    9.68000e-01,nan,nan,    1.44000e+00,    1.30000e-01,    4.33995e-01,    6.58257e-02,   -2.96251e-01,    3.52704e-02,    1.52258e-01,    2.52928e-02,    1.14695e+01,    3.02088e-02,    4.83482e-01,    2.26781e-01,   -3.00670e-01,    4.07761e-02,    1.34798e-01,    8.53404e-02,    1.14600e+01,    1.46198e-01,    5.79929e-01,    2.33868e-01,   -3.04432e-01,    4.17996e-02,    9.89741e-02,    8.59234e-02,    1.13257e+01,    1.78130e-01
